Bien qu'il pleuve, nous avons décidé d'aller nous promener.|Although it was raining, we decided to go for a walk.
Elle vivait à Paris depuis trois ans quand elle a décroché le poste.|She had been living in Paris for three years when she got the job.
Le projet était plus complexe que ce que nous avions initialement prévu.|The project was more complex than we had initially expected.
Si j'avais su que la réunion avait lieu, je serais arrivé plus tôt.|If I had known about the meeting, I would have come earlier.
Malgré le bruit dehors, elle a réussi à se concentrer sur son travail.|Despite the noise outside, she managed to concentrate on her work.
Il travaille sur ce rapport depuis deux semaines.|He has been working on this report for the past two weeks.
Le gouvernement a annoncé de nouvelles mesures pour réduire la pollution.|The government has announced new measures to reduce pollution.
Au moment où elle est arrivée à la gare, le train était déjà parti.|By the time she arrived at the station, the train had already left.
Elle préférerait vivre à la campagne plutôt qu'en ville.|She would rather live in the countryside than in the city.
Le scientifique a découvert une nouvelle espèce d'insecte dans la forêt tropicale.|The scientist discovered a new species of insect in the rainforest.
Il est important de manger équilibré et de faire régulièrement de l'exercice.|It is important to eat a balanced diet and exercise regularly.
Bien qu'il fût fatigué, il a continué à travailler jusqu'à minuit.|Although he was tired, he continued working until midnight.
Le musée était tellement bondé que nous pouvions à peine bouger.|The museum was so crowded that we could barely move.
Elle parlait si vite que je ne pouvais pas la comprendre.|She spoke so quickly that I could not understand her.
Il n'est jamais allé en Asie mais il aimerait visiter le Japon.|He has never been to Asia but he would love to visit Japan.
Nous avons été informés que la réunion avait été reportée à la semaine prochaine.|We were informed that the meeting had been postponed until next week.
Les enfants ont joué dans le jardin pendant que leurs parents préparaient le dîner.|The children played in the garden while their parents prepared dinner.
Elle a toujours été passionnée par les questions environnementales.|She has always been passionate about environmental issues.
La société a décidé de réduire son empreinte carbone de vingt pour cent.|The company decided to reduce its carbon footprint by twenty percent.
Non seulement elle a réussi l'examen, mais elle a aussi eu la meilleure note.|Not only did she pass the exam but she also got the highest mark.
Il a tendance à procrastiner face aux tâches difficiles.|He tends to procrastinate when faced with difficult tasks.
La nouvelle politique vise à améliorer les transports en commun dans la ville.|The new policy aims to improve public transport in the city.
Elle a réussi à convaincre ses collègues d'adopter la nouvelle approche.|She managed to convince her colleagues to adopt the new approach.
Je trouve difficile de concilier travail et vie personnelle.|I find it difficult to balance work and personal life.
L'équipe de recherche a publié ses résultats dans une revue scientifique.|The research team published its findings in a scientific journal.
